norad_id,object_name,object_type,epoch_utc,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,altitude_km
900,CALSPHERE 1,Active,2026-03-21T16:53:25.131191+00:00,2241.70358,6106.061776,-3473.861613,1.22416227,3.24289304,6.47376732,1003.07
902,CALSPHERE 2,Active,2026-03-21T16:53:25.131191+00:00,-1846.117564,-6366.149015,3348.767467,-0.95695663,-3.1820436,-6.5381003,1055.32
1361,LCS 1,Active,2026-03-21T16:53:25.131191+00:00,5248.737025,-5856.681662,-4721.052147,5.2061395,3.94292556,0.88182039,2801.69
1512,TEMPSAT 1,Active,2026-03-21T16:53:25.131191+00:00,-3694.131334,-2360.357444,-6173.130841,-4.96551211,-3.17373735,4.17800559,1200.36
1520,CALSPHERE 4A,Active,2026-03-21T16:53:25.131191+00:00,2297.242997,-3509.306808,6253.93956,3.33397857,-5.05196337,-4.00599185,1159.23
2826,OPS 5712 (P/L 160),Active,2026-03-21T16:53:25.131191+00:00,1313.113321,-3237.614666,6082.590168,3.03745703,6.34140099,2.71225168,643.58
2866,LES-5,Active,2026-03-21T16:53:25.131191+00:00,9844.638482,38670.760661,-682.349982,-3.05131928,0.79348417,0.12154759,33539.03
2872,SURCAL 159,Active,2026-03-21T16:53:25.131191+00:00,3118.720729,-1825.562844,6309.399767,6.5926394,2.05225211,-2.66577132,900.01
2874,OPS 5712 (P/L 153),Active,2026-03-21T16:53:25.131191+00:00,2800.501082,178.9222,6718.725656,-3.53661661,6.36163557,1.30701175,910.22
5204,OPS 3811 (DSP 2),Active,2026-03-21T16:53:25.131191+00:00,15393.919836,39976.380635,138.711744,-2.84246907,1.09993586,0.00560199,36467.1
5398,RIGIDSPHERE 2 (LCS 4),Active,2026-03-21T16:53:25.131191+00:00,5461.225927,99.993959,-4676.796961,4.82099057,0.49256489,5.61889395,819.79
7530,OSCAR 7 (AO-7),Active,2026-03-21T16:53:25.131191+00:00,1212.724385,-6586.842363,4062.396054,-1.05435744,-3.84502184,-5.91247132,1462.28
7646,STARLETTE,Active,2026-03-21T16:53:25.131191+00:00,-4401.201786,2475.760881,5213.919747,-1.56020085,-7.04647957,1.83506841,887.44
8820,LAGEOS 1,Active,2026-03-21T16:53:25.131191+00:00,-9530.990591,6979.094049,3201.086046,2.3013558,0.80230017,5.16922344,5868.06
13086,OPS 8701 (DSP 10),Active,2026-03-21T16:53:25.131191+00:00,32891.593277,26419.7733,7022.543192,-1.91175224,2.37969622,0.00884316,36397.88
14129,PHASE 3B (AO-10),Active,2026-03-21T16:53:25.131191+00:00,-25222.210575,26680.071639,-17529.356918,-1.75796623,-1.03726199,-0.39653509,34313.94
14781,UOSAT 2 (UO-11),Active,2026-03-21T16:53:25.131191+00:00,2060.80619,902.882981,6588.839232,-4.67950998,-5.52030645,2.21129701,591.39
16908,AJISAI (EGS),Active,2026-03-21T16:53:25.131191+00:00,-4999.782662,-5997.039968,1008.111986,3.09481118,-3.4854608,-5.37531935,1501.65
19548,TDRS 3,Active,2026-03-21T16:53:25.131191+00:00,38167.754353,16496.630071,6224.071028,-1.26658038,2.76667354,0.49944865,35672.49
19751,COSMOS 1989 (ETALON 1),Active,2026-03-21T16:53:25.131191+00:00,-10492.139808,-20822.001771,10263.197266,1.00707246,-2.08176175,-3.21201245,19103.97
20026,COSMOS 2024 (ETALON 2),Active,2026-03-21T16:53:25.131191+00:00,812.13073,-14870.957159,-20698.354909,2.97963977,-2.05826177,1.58623636,19128.55
20253,FLTSATCOM 8 (USA 46),Active,2026-03-21T16:53:25.131191+00:00,-40022.250701,-12727.129527,-4053.265148,0.9692459,-2.85500274,-0.59193742,35821.29
20442,LUSAT (LO-19),Active,2026-03-21T16:53:25.131191+00:00,448.898839,3183.458901,6378.348314,1.66663135,-6.56901675,3.14851889,771.78
20580,HST,Active,2026-03-21T16:53:25.131191+00:00,3798.49735,4675.599462,3260.663595,-5.86725124,4.87852488,-0.1605699,478.94
20776,SKYNET 4C,Active,2026-03-21T16:53:25.131191+00:00,-11880.474681,39492.11479,8775.023469,-2.94799292,-0.8173478,-0.30810389,35792.66
20929,USA 65 (DSP 15),Active,2026-03-21T16:53:25.131191+00:00,-16492.645145,-38039.617252,-10270.029856,2.8106701,-1.19097457,-0.10112811,36343.09
21639,TDRS 5,Active,2026-03-21T16:53:25.131191+00:00,-3648.260548,-40697.269179,-10241.885848,3.06519587,-0.27594156,0.00591701,35753.5
21805,USA 75 (DSP 16),Active,2026-03-21T16:53:25.131191+00:00,19969.431901,36116.460144,9965.129758,-2.69857721,1.44035209,0.18784411,36084.63
22195,LAGEOS 2,Active,2026-03-21T16:53:25.131191+00:00,3202.525073,-9478.906947,-7200.100133,4.70448701,-0.74325405,3.03536056,5955.69
22314,TDRS 6,Active,2026-03-21T16:53:25.131191+00:00,37641.526173,18367.90177,5015.376553,-1.38742201,2.6623028,0.65768413,35812.15
22490,SCD 1,Active,2026-03-21T16:53:25.131191+00:00,5545.031405,-3527.58857,-2653.552925,4.44472375,5.88234038,1.46318376,716.5
22787,UFO 2 (USA 95),Active,2026-03-21T16:53:25.131191+00:00,-8211.415571,40470.149564,8592.917077,-3.01497693,-0.59214934,-0.07960981,35808.36
22824,STELLA,Active,2026-03-21T16:53:25.131191+00:00,-5804.767709,4208.4301,444.248349,1.04720911,0.64735515,7.34702476,812.56
22825,EYESAT A (AO-27),Active,2026-03-21T16:53:25.131191+00:00,5346.009493,-3840.678688,-2862.127553,-3.09295032,0.71079796,-6.73786557,806.91
22826,ITAMSAT (IO-26),Active,2026-03-21T16:53:25.131191+00:00,6111.058101,-3724.292931,498.553594,-0.14372574,-1.23352397,-7.34862914,802.84
22988,USA 99 (MILSTAR-1 1),Active,2026-03-21T16:53:25.131191+00:00,39540.766759,-11403.37611,-9115.92275,0.96886194,2.8479354,0.6408623,35778.84
23439,RADIO ROSTO (RS15),Active,2026-03-21T16:53:25.131191+00:00,-2695.20016,-6728.532859,4383.106735,1.98351785,-4.18321172,-5.02372941,2099.47
23467,UFO 4 (USA 108),Active,2026-03-21T16:53:25.131191+00:00,-17967.893501,-37748.172101,-5539.022079,2.77893306,-1.2744609,-0.32178389,35800.68
23613,TDRS 7,Active,2026-03-21T16:53:25.131191+00:00,-40095.857472,13053.980605,1192.965464,-0.94723386,-2.83687549,-0.70696435,35813.21
23712,USA 115 (MILSTAR-1 2),Active,2026-03-21T16:53:25.131191+00:00,28418.509304,-30078.041856,-8037.845789,2.27029373,2.02291205,0.46070831,35782.38
23802,POLAR,Active,2026-03-21T16:53:25.131191+00:00,1249.550964,-8027.650582,34896.809925,1.6671071,2.31399669,-1.69824933,29459.04
23839,INMARSAT 3-F1,Active,2026-03-21T16:53:25.131191+00:00,17393.863163,38416.272158,2416.607725,-2.76880939,1.22225597,0.52620624,35868.75
23893,USA 119,Active,2026-03-21T16:53:25.131191+00:00,-4645.50011,-4958.285311,3296.487091,0.38187445,-4.84518012,-5.34488532,1180.96
24278,JAS-2 (FO-29),Active,2026-03-21T16:53:25.131191+00:00,2791.506044,-5637.670003,3763.288638,-2.72940234,2.61910496,6.39229732,959.63
