OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-03-21T04:53:36.273120,13.7651254,0.0024656,90.2172,69.7129,193.8745,182.3723,900.0,999.0,5932.0,0.00060048683,5.98e-06,0.0
CALSPHERE 2,1964-063E,2026-03-21T05:32:39.238080,13.52892763,0.00203282,90.2291,73.7016,119.6856,252.1481,902.0,999.0,84437.0,6.7277328e-05,5.4e-07,0.0
LCS 1,1965-034C,2026-03-21T02:51:29.738016,9.89309896,0.00132715,32.1459,26.124,170.6883,189.3862,1361.0,999.0,20116.0,-0.00043731952,5e-08,0.0
TEMPSAT 1,1965-065E,2026-03-20T16:01:12.921024,13.33589793,0.00710742,89.996,212.5825,136.2862,236.9953,1512.0,999.0,94825.0,2.136292e-05,2e-07,0.0
CALSPHERE 4A,1965-065H,2026-03-21T02:19:03.654048,13.36261318,0.00691498,89.9011,123.3628,354.0368,89.9446,1520.0,999.0,95094.0,0.00018324851,1.04e-06,0.0
OPS 5712 (P/L 160),1967-053A,2026-03-21T05:12:12.889440,14.76373681,0.00035569,69.9158,253.6991,216.5143,143.5763,2826.0,999.0,5324.0,0.0014234389,9.84e-05,0.0
LES-5,1967-066E,2026-03-21T04:44:10.101696,1.0942515,0.00556693,2.4197,99.0528,209.7523,286.877,2866.0,999.0,13007.0,0.0,-5e-07,0.0
SURCAL 159,1967-053F,2026-03-21T00:55:00.505920,13.99579234,0.00092004,69.9746,190.6394,240.9275,119.0911,2872.0,999.0,99787.0,8.874612e-05,7.6e-07,0.0
OPS 5712 (P/L 153),1967-053H,2026-03-21T01:02:41.611488,13.96814079,0.00095444,69.9738,304.2359,299.1579,60.8571,2874.0,999.0,99447.0,7.4417998e-05,5e-07,0.0
OPS 3811 (DSP 2),1971-039A,2026-03-21T04:48:09.719136,0.98161954,0.00236521,0.238,8.2777,284.8587,317.6219,5204.0,999.0,20536.0,0.0,-1.65e-06,0.0
