OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1908,1988-001A,2026-03-20T23:46:15.024288,15.99085332,0.00066132,82.4338,88.7541,158.7458,201.4096,18748.0,999.0,9270.0,0.0007404405,0.00357238,5.1559516e-05
FENGYUN 1C DEB,1999-025AMT,2026-03-19T07:41:47.002560,15.97002757,0.00052757,99.0563,97.0619,160.9061,211.5261,30612.0,999.0,1752.0,0.0057976857,0.023537,0.0040132867
CZ-2D DEB,2005-024J,2026-03-11T21:08:51.902592,15.9816804,0.00039515,97.1411,113.6468,141.8178,218.3381,31409.0,999.0,11877.0,0.00071048273,0.00324446,4.4977035e-05
ZIYUAN 3-01 (ZY 3-01),2012-001A,2026-03-21T14:07:16.383648,16.35965183,0.0010298,97.1418,156.6543,260.5728,99.4406,38046.0,999.0,79062.0,0.00080535,0.06421211,2.3713e-06
ATLAS CENTAUR R/B,2012-048N,2026-03-21T04:27:30.591072,16.04670134,0.00156876,64.6184,185.361,258.9723,100.9679,38770.0,999.0,10515.0,0.0013206863,0.00904537,0.00043108298
STARLINK-1031,2019-074Z,2026-03-21T06:00:02.999808,15.96825266,0.00046053,53.036,60.8374,59.7428,2.3479,44736.0,999.0,595.0,0.0008501422,0.00370978,6.6965909e-05
STARLINK-1053,2019-074AX,2026-03-21T06:00:02.999808,16.00141225,0.00057926,53.0254,24.0217,124.9222,162.2051,44758.0,999.0,600.0,0.0012725167,0.00670933,0.00021437783
ELECTRON KICK STAGE R/B,2020-007B,2026-03-21T12:15:18.959040,16.47056641,0.0008771,69.9345,145.7422,277.9257,82.0982,45111.0,999.0,10385.0,0.00032898,0.18034427,4.4838e-06
STARLINK-1298,2020-019BF,2026-03-21T05:14:20.490144,16.08958393,0.00015891,53.032,354.1277,119.5793,240.5399,45413.0,999.0,33296.0,0.0011794785,0.01056029,0.00066116099
STARLINK-1398,2020-035AU,2026-03-20T22:34:23.842272,16.0703837,0.00083078,53.0296,240.9482,285.5378,74.4737,45699.0,999.0,32232.0,0.00092321579,0.00738353,0.00029099988
