OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,OBJECT_TYPE
CALSPHERE 1,1964-063C,2026-03-21T04:53:36.273120,13.76512540,.0024656,90.2172,69.7129,193.8745,182.3723,0,U,900,999,5932,.60048683E-3,.598E-5,0,Active
CALSPHERE 2,1964-063E,2026-03-21T05:32:39.238080,13.52892763,.00203282,90.2291,73.7016,119.6856,252.1481,0,U,902,999,84437,.67277328E-4,.54E-6,0,Active
LCS 1,1965-034C,2026-03-21T02:51:29.738016,9.89309896,.00132715,32.1459,26.1240,170.6883,189.3862,0,U,1361,999,20116,-.43731952E-3,.5E-7,0,Active
TEMPSAT 1,1965-065E,2026-03-20T16:01:12.921024,13.33589793,.00710742,89.9960,212.5825,136.2862,236.9953,0,U,1512,999,94825,.2136292E-4,.2E-6,0,Active
CALSPHERE 4A,1965-065H,2026-03-21T02:19:03.654048,13.36261318,.00691498,89.9011,123.3628,354.0368,89.9446,0,U,1520,999,95094,.18324851E-3,.104E-5,0,Active
OPS 5712 (P/L 160),1967-053A,2026-03-21T05:12:12.889440,14.76373681,.00035569,69.9158,253.6991,216.5143,143.5763,0,U,2826,999,5324,.14234389E-2,.984E-4,0,Active
LES-5,1967-066E,2026-03-21T04:44:10.101696,1.09425150,.00556693,2.4197,99.0528,209.7523,286.8770,0,U,2866,999,13007,0,-.5E-6,0,Active
SURCAL 159,1967-053F,2026-03-21T00:55:00.505920,13.99579234,.00092004,69.9746,190.6394,240.9275,119.0911,0,U,2872,999,99787,.8874612E-4,.76E-6,0,Active
OPS 5712 (P/L 153),1967-053H,2026-03-21T01:02:41.611488,13.96814079,.00095444,69.9738,304.2359,299.1579,60.8571,0,U,2874,999,99447,.74417998E-4,.5E-6,0,Active
OPS 3811 (DSP 2),1971-039A,2026-03-21T04:48:09.719136,0.98161954,.00236521,0.2380,8.2777,284.8587,317.6219,0,U,5204,999,20536,0,-.165E-5,0,Active
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-03-21T05:23:19.177728,14.37758915,.00603591,87.6281,3.2154,162.5381,197.7913,0,U,5398,999,86124,.20272374E-3,.641E-5,0,Active
OSCAR 7 (AO-7),1974-089B,2026-03-21T06:35:08.924640,12.53696607,.00119053,101.9963,92.5891,299.5695,71.4032,0,U,7530,999,34950,-.58070182E-4,-.56E-6,0,Active
STARLETTE,1975-010A,2026-03-21T06:08:27.123072,13.82349347,.020561,49.8224,91.6731,132.5532,229.2920,0,U,7646,999,58237,-.1980577E-5,-.147E-5,0,Active
