norad_id,object_name,object_type,epoch_utc,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,altitude_km
900,CALSPHERE 1,Active,2026-03-21T19:03:26.236012+00:00,1346.931092,3577.527604,6290.880766,-2.1670012,-5.90803215,3.80064788,990.26
902,CALSPHERE 2,Active,2026-03-21T19:03:26.236012+00:00,-1288.059969,-4324.332558,-5932.065576,1.61060334,5.57627836,-4.43377507,1082.08
1361,LCS 1,Active,2026-03-21T19:03:26.236012+00:00,-361.002125,-7990.837415,-4472.748374,6.42741373,0.48313173,-1.40070128,2793.57
1512,TEMPSAT 1,Active,2026-03-21T19:03:26.236012+00:00,-6047.335411,-3864.95799,2293.080297,1.9076115,1.21858795,6.90281118,1163.35
1520,CALSPHERE 4A,Active,2026-03-21T19:03:26.236012+00:00,3973.450653,-6029.155256,-2216.323907,-1.16672046,1.79410821,-6.91794758,1182.22
2826,OPS 5712 (P/L 160),Active,2026-03-21T19:03:26.236012+00:00,1824.740213,6726.108186,-842.210647,-2.73573288,-0.13149584,-7.0228044,648.94
2866,LES-5,Active,2026-03-21T19:03:26.236012+00:00,-14293.768462,37345.307999,332.899405,-2.93989509,-1.12056515,0.13038287,33617.68
2872,SURCAL 159,Active,2026-03-21T19:03:26.236012+00:00,6195.297277,2145.021967,-3148.025323,-3.72155525,1.68721094,-6.17540336,901.75
2874,OPS 5712 (P/L 153),Active,2026-03-21T19:03:26.236012+00:00,-3646.610607,6256.050093,827.879321,-2.59919843,-0.59998654,-6.89756436,917.44
5204,OPS 3811 (DSP 2),Active,2026-03-21T19:03:26.236012+00:00,-7971.492116,42116.512329,159.549846,-2.99314162,-0.56492046,-0.00044093,36493.56
5398,RIGIDSPHERE 2 (LCS 4),Active,2026-03-21T19:03:26.236012+00:00,2938.857084,426.5564,6494.584955,-6.81504117,-0.23786557,3.043832,770.32
7530,OSCAR 7 (AO-7),Active,2026-03-21T19:03:26.236012+00:00,-17.892985,-7569.205104,-2018.206189,-1.52930322,1.8011399,-6.72959809,1462.67
7646,STARLETTE,Active,2026-03-21T19:03:26.236012+00:00,-1407.107113,-6876.581006,1601.177843,4.60117531,-2.2991597,-5.47375393,828.38
8820,LAGEOS 1,Active,2026-03-21T19:03:26.236012+00:00,6304.293726,-7018.592453,-7867.352632,-4.06787857,0.76816671,-3.90823622,5913.14
13086,OPS 8701 (DSP 10),Active,2026-03-21T19:03:26.236012+00:00,13768.802508,40048.967444,6027.229293,-2.86355062,1.02390173,-0.25735399,36405.48
14129,PHASE 3B (AO-10),Active,2026-03-21T19:03:26.236012+00:00,-34018.026129,14620.175541,-17554.903463,-0.43575675,-1.96057771,0.38729482,34606.44
14781,UOSAT 2 (UO-11),Active,2026-03-21T19:03:26.236012+00:00,-4717.216161,-4714.49583,-2056.670644,0.79271919,2.30828366,-7.15231402,608.15
16908,AJISAI (EGS),Active,2026-03-21T19:03:26.236012+00:00,-1177.416637,-6969.099833,-3463.615566,5.3854636,1.31268758,-4.46062199,1499.91
19548,TDRS 3,Active,2026-03-21T19:03:26.236012+00:00,22764.634965,34312.90575,8925.7398,-2.57338401,1.67767862,0.17466439,35762.99
19751,COSMOS 1989 (ETALON 1),Active,2026-03-21T19:03:26.236012+00:00,2386.264038,-19846.579031,-15750.685656,1.88024889,2.30254165,-2.61893534,19078.26
20026,COSMOS 2024 (ETALON 2),Active,2026-03-21T19:03:26.236012+00:00,18280.727396,-17703.096513,2239.677016,0.94250806,1.41971465,3.55978628,19175.05
20253,FLTSATCOM 8 (USA 46),Active,2026-03-21T19:03:26.236012+00:00,-26569.295385,-31817.733739,-7788.950644,2.38667076,-1.9067451,-0.33983632,35806.76
20442,LUSAT (LO-19),Active,2026-03-21T19:03:26.236012+00:00,1418.328735,-6923.701147,1113.540345,-0.9103511,-1.37589243,-7.2833231,783.67
20580,HST,Active,2026-03-21T19:03:26.236012+00:00,-6350.339301,-505.641106,-2530.485541,1.48248213,-7.1199945,-2.30077144,483.62
20776,SKYNET 4C,Active,2026-03-21T19:03:26.236012+00:00,-31786.740263,27235.612852,5117.247948,-2.01727492,-2.23965021,-0.60424228,35799.63
20929,USA 65 (DSP 15),Active,2026-03-21T19:03:26.236012+00:00,6813.715765,-41086.962726,-9461.18716,3.00894749,0.43010806,0.3031277,36338.24
21639,TDRS 5,Active,2026-03-21T19:03:26.236012+00:00,19566.950703,-36308.515941,-8580.77705,2.7248773,1.3704483,0.40837597,35757.42
21805,USA 75 (DSP 16),Active,2026-03-21T19:03:26.236012+00:00,-3069.638312,41193.977046,9816.175909,-3.0512883,-0.17309549,-0.22501477,36087.49
22195,LAGEOS 2,Active,2026-03-21T19:03:26.236012+00:00,-7739.5646,8742.878331,2758.919638,-3.4131888,-1.59853475,-4.41288251,5626.93
22314,TDRS 6,Active,2026-03-21T19:03:26.236012+00:00,21470.932351,35146.188262,9085.013691,-2.64619549,1.5226839,0.35739151,35804.74
22490,SCD 1,Active,2026-03-21T19:03:26.236012+00:00,1952.995515,6467.342908,2263.015099,-7.03814046,1.42298524,2.08706149,753.74
22787,UFO 2 (USA 95),Active,2026-03-21T19:03:26.236012+00:00,-29193.84614,29731.367478,6653.523307,-2.21901129,-2.08621457,-0.4041151,35825.02
22824,STELLA,Active,2026-03-21T19:03:26.236012+00:00,2363.183056,-394.068794,6754.222366,5.60795518,-4.39013422,-2.21571803,795.55
22825,EYESAT A (AO-27),Active,2026-03-21T19:03:26.236012+00:00,-4233.469951,1623.487377,-5554.871434,-4.59136788,3.66912399,4.58045724,799.4
22826,ITAMSAT (IO-26),Active,2026-03-21T19:03:26.236012+00:00,-1696.878207,-198.933491,-6963.78958,-6.10125937,4.04252051,1.37755152,799.31
22988,USA 99 (MILSTAR-1 1),Active,2026-03-21T19:03:26.236012+00:00,40463.77897,11431.132025,-2945.055997,-0.73861064,2.84734186,0.89832606,35779.46
23439,RADIO ROSTO (RS15),Active,2026-03-21T19:03:26.236012+00:00,-2422.690395,-7257.947003,3662.022087,2.20569495,-3.55470092,-5.38896336,2111.78
23467,UFO 4 (USA 108),Active,2026-03-21T19:03:26.236012+00:00,5389.113686,-41219.822771,-7044.097274,3.04699102,0.40869601,-0.05356666,35792.2
23613,TDRS 7,Active,2026-03-21T19:03:26.236012+00:00,-40790.484791,-9956.491111,-4217.460802,0.77365878,-2.90286269,-0.64263675,35828.32
23712,USA 115 (MILSTAR-1 2),Active,2026-03-21T19:03:26.236012+00:00,40708.84084,-10394.378154,-3367.94669,0.79511324,2.8865789,0.7041298,35778.68
23802,POLAR,Active,2026-03-21T19:03:26.236012+00:00,10446.422087,9564.622164,7643.395508,-0.39090684,1.1998598,-6.05894696,9723.45
23839,INMARSAT 3-F1,Active,2026-03-21T19:03:26.236012+00:00,-5790.166854,41430.990957,5926.59903,-3.01479404,-0.46994596,0.34939458,35880.36
23893,USA 119,Active,2026-03-21T19:03:26.236012+00:00,-985.063458,-6549.531201,-4655.662295,4.11270505,2.57336546,-4.64117675,1724.8
24278,JAS-2 (FO-29),Active,2026-03-21T19:03:26.236012+00:00,-2256.841434,1629.819851,7120.049512,-3.24891867,5.92468223,-2.22895505,1273.92
24307,INMARSAT 3-F2,Active,2026-03-21T19:03:26.236012+00:00,39577.096536,-13058.061331,-6774.933673,0.98385761,2.9079537,0.14769886,35851.73
24674,INMARSAT 3-F3,Active,2026-03-21T19:03:26.236012+00:00,-21636.968045,-36266.384939,-1135.67512,2.60603763,-1.53600489,-0.53292623,35874.7
24876,NAVSTAR 43 (USA 132),Active,2026-03-21T19:03:26.236012+00:00,15717.647102,-6923.598717,-20601.818768,0.04343207,3.64854556,-1.18328225,20450.92
24920,FORTE,Active,2026-03-21T19:03:26.236012+00:00,-860.572017,2357.906606,-6739.695537,-6.41739043,-3.71851068,-0.46847967,820.93
24936,AMC-3,Active,2026-03-21T19:03:26.236012+00:00,35087.395326,23159.368458,-3074.200466,-1.6602207,2.56385291,0.35915785,35782.68
25019,USA 134,Active,2026-03-21T19:03:26.236012+00:00,41625.459731,-4741.865192,-4544.266703,0.4055361,2.99253447,0.58741079,35769.41
25118,ORBCOMM FM06,Active,2026-03-21T19:03:26.236012+00:00,5134.265076,-3702.772186,-3245.557563,1.79732257,6.03607993,-4.04691954,742.71
25153,INMARSAT 3-F5,Active,2026-03-21T19:03:26.236012+00:00,26380.386731,32873.28257,-356.167592,-2.36277545,1.90298754,0.50590206,35779.97
25159,ORBCOMM FM04,Active,2026-03-21T19:03:26.236012+00:00,2175.506337,1781.266534,-6611.6111,6.9641364,-1.86437774,1.7811884,813.65
25160,CELESTIS-02 & TAURUS R/B,Active,2026-03-21T19:03:26.236012+00:00,6112.467955,-3363.871337,-1764.619545,-2.69483886,-1.22465,-6.83027334,825.65
25397,TECHSAT 1B (GO-32),Active,2026-03-21T19:03:26.236012+00:00,-2480.89351,-5244.682814,-4256.266401,0.53910691,4.5159078,-5.88677287,824.65
25398,WESTPAC,Active,2026-03-21T19:03:26.236012+00:00,1953.045578,5647.099663,-4017.744231,2.65652827,3.38897016,6.06323959,829.44
25415,ORBCOMM FM19,Active,2026-03-21T19:03:26.236012+00:00,-4139.242834,5754.740157,-840.171137,-3.96190922,-3.60653661,-5.21403464,767.36
25416,ORBCOMM FM20,Active,2026-03-21T19:03:26.236012+00:00,-5606.287605,3767.510901,-2331.569772,-1.77627939,-5.53799113,-4.68757453,774.69
25481,ORBCOMM FM27,Active,2026-03-21T19:03:26.236012+00:00,2000.617719,5654.906759,3864.66319,-6.66037458,0.02957372,3.39719621,764.55
25504,SCD 2,Active,2026-03-21T19:03:26.236012+00:00,-3270.703537,5869.526398,-2327.382748,-5.93734846,-4.11072965,-1.99931295,739.95
25544,ISS (ZARYA),Active,2026-03-21T19:03:26.236012+00:00,-2293.678648,3715.016167,5205.865301,-7.09085484,-2.60321244,-1.26918982,423.36
25560,SWAS,Active,2026-03-21T19:03:26.236012+00:00,699.609793,6312.722741,-2744.452787,-2.51731628,3.08284937,6.46411896,547.96
25575,ISS (UNITY),Active,2026-03-21T19:03:26.236012+00:00,-2293.678648,3715.016167,5205.865301,-7.09085484,-2.60321244,-1.26918982,423.36
25757,DLR-TUBSAT,Active,2026-03-21T19:03:26.236012+00:00,841.298413,5309.056507,-4636.089992,2.22356233,4.50703175,5.55545332,727.39
25867,CXO,Active,2026-03-21T19:03:26.236012+00:00,-9014.449379,-113722.252185,89711.144373,0.52651071,-0.34413569,-0.40427441,138756.88
25924,ABS-6,Active,2026-03-21T19:03:26.236012+00:00,-4302.736542,-41945.484119,2.086472,3.05866041,-0.31289188,1.768e-05,35794.59
