OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-03-21T13:54:04.048128,14.35108238,.00058004,86.3903,26.7098,247.1459,112.9125,0,U,24946,999,49252,.89742954E-4,.276E-5,0
IRIDIUM 33 DEB,1997-051L,2026-03-21T13:46:16.169664,14.43506844,.00107603,86.4053,18.6894,174.9500,185.1812,0,U,33773,999,89773,.31344488E-3,.108E-4,0
IRIDIUM 33 DEB,1997-051N,2026-03-20T18:46:08.410656,14.41791347,.00118411,86.3683,7.6875,190.1559,202.3381,0,U,33775,999,89553,.38089443E-3,.1264E-4,0
IRIDIUM 33 DEB,1997-051P,2026-03-21T09:28:59.962080,14.38425805,.00125243,86.4047,39.3089,229.1000,245.8994,0,U,33776,999,89500,.24649562E-3,.772E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-03-21T10:52:06.316896,14.56390852,.00048322,86.3830,352.2458,298.3433,61.7287,0,U,33777,999,89970,.53070863E-3,.2374E-4,0
IRIDIUM 33 DEB,1997-051T,2026-03-21T12:25:19.154784,14.42504938,.00100618,86.3463,347.7127,195.6806,285.0531,0,U,33850,999,89576,.277104E-3,.938E-5,0
IRIDIUM 33 DEB,1997-051W,2026-03-21T14:15:06.136128,13.99630904,.02078059,85.9987,306.4622,293.7519,92.7929,0,U,33853,999,86728,.10144414E-2,.18E-4,0
IRIDIUM 33 DEB,1997-051AD,2026-03-21T12:00:20.798208,14.69241217,.00100998,86.3861,343.4734,15.4033,162.0184,0,U,33860,999,90171,.14473271E-2,.856E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-03-21T12:43:02.051040,14.72114735,.00521688,86.4129,353.8873,84.1398,88.6765,0,U,33862,999,90275,.26275061E-2,.16937E-3,0
IRIDIUM 33 DEB,1997-051AK,2026-03-21T10:04:16.354272,14.25804916,.01104278,86.3005,51.2483,203.8725,316.9841,0,U,33866,999,88216,.10917928E-2,.2784E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-03-21T14:07:32.932704,14.46464722,.00189078,86.3795,15.8637,209.5242,330.1714,0,U,33870,999,89565,.7675851E-3,.2785E-4,0
IRIDIUM 33 DEB,1997-051BA,2026-03-21T04:47:47.241312,14.59375628,.0052178,86.3838,63.8349,199.5800,173.4405,0,U,33881,999,88935,.3317466E-2,.16043E-3,0
IRIDIUM 33 DEB,1997-051BD,2026-03-21T15:16:47.169984,14.80648511,.00113046,86.3693,325.0875,340.8499,48.1375,0,U,33884,999,90309,.28777319E-2,.22195E-3,0
IRIDIUM 33 DEB,1997-051BF,2026-03-21T09:53:22.269120,14.36183866,.00119339,86.3867,25.6736,287.6371,194.5439,0,U,33886,999,89468,.20388004E-3,.614E-5,0
IRIDIUM 33 DEB,1997-051BG,2026-03-21T14:30:01.728288,14.37333720,.00041113,86.3054,320.8156,283.0697,101.4681,0,U,33887,999,89585,.12507751E-3,.393E-5,0
IRIDIUM 33 DEB,1997-051BN,2026-03-21T13:33:33.001920,14.56513507,.00179066,86.3896,10.8471,118.8742,60.1911,0,U,33953,999,89741,.13092452E-2,.5857E-4,0
IRIDIUM 33 DEB,1997-051BV,2026-03-21T10:56:38.652288,14.90928900,.00023437,86.2512,242.7386,96.2351,317.0795,0,U,33960,999,90335,.38305302E-2,.37976E-3,0
IRIDIUM 33 DEB,1997-051CB,2026-03-21T12:58:49.769184,14.50097190,.00053662,86.3974,3.6153,223.5107,316.3572,0,U,33966,999,89873,.49803498E-3,.1952E-4,0
IRIDIUM 33 DEB,1997-051CE,2026-03-21T05:20:38.941152,14.50052002,.00087162,86.3482,335.0257,127.3815,232.8184,0,U,34071,999,89761,.46119241E-3,.1808E-4,0
IRIDIUM 33 DEB,1997-051CL,2026-03-20T19:04:39.786816,14.66817685,.00122596,86.3899,8.2450,56.7388,331.4356,0,U,34077,999,89769,.12903055E-2,.723E-4,0
IRIDIUM 33 DEB,1997-051CN,2026-03-21T14:08:11.678784,14.87400210,.00075952,86.3764,323.5786,13.9147,30.8264,0,U,34079,999,90445,.21633196E-2,.19626E-3,0
IRIDIUM 33 DEB,1997-051CX,2026-03-21T13:40:50.159136,14.98889033,.00031135,86.3857,345.0655,124.6166,5.5337,0,U,34088,999,90218,.41580191E-2,.50543E-3,0
IRIDIUM 33 DEB,1997-051DA,2026-03-21T01:50:10.670496,14.90768973,.002757,86.3466,21.4896,318.2195,41.6926,0,U,34091,999,89327,.40613957E-2,.404E-3,0
IRIDIUM 33 DEB,1997-051DG,2026-03-21T09:10:19.509600,14.35625257,.00834895,86.1990,317.8545,39.5165,321.2078,0,U,34097,999,88534,.11409057E-2,.3441E-4,0
IRIDIUM 33 DEB,1997-051DY,2026-03-21T13:52:37.191936,14.43157168,.00537347,86.2065,288.4770,126.7611,233.8541,0,U,34145,999,89063,.9272212E-3,.3189E-4,0
IRIDIUM 33 DEB,1997-051DZ,2026-03-20T13:51:00.292608,14.49781416,.00247847,86.2813,306.5725,260.2745,127.0971,0,U,34146,999,89524,.45585844E-3,.1783E-4,0
IRIDIUM 33 DEB,1997-051EN,2026-03-21T12:01:00.995808,14.38787187,.00270517,86.3563,6.1268,327.7465,32.2078,0,U,34159,999,89379,.39592329E-3,.124E-4,0
IRIDIUM 33 DEB,1997-051ES,2026-03-21T04:26:18.672576,14.45717265,.00210958,86.3283,320.1056,166.7948,317.8448,0,U,34350,999,89715,.26274867E-3,.953E-5,0
IRIDIUM 33 DEB,1997-051FJ,2026-03-21T13:19:31.206720,14.55121240,.00201798,86.3736,6.2979,161.3702,17.8792,0,U,34366,999,89618,.11384997E-2,.4948E-4,0
IRIDIUM 33 DEB,1997-051FT,2026-03-21T15:16:33.744288,14.18202427,.01027512,86.4325,142.8641,171.6681,340.7787,0,U,34375,999,88113,.38088593E-3,.844E-5,0
IRIDIUM 33 DEB,1997-051FU,2026-03-21T09:36:53.203392,14.64711240,.0023868,86.2967,322.1204,191.2275,168.8409,0,U,34376,999,89450,.1598633E-2,.8569E-4,0
IRIDIUM 33 DEB,1997-051GB,2026-03-21T10:55:07.705920,15.02856325,.00110943,86.3912,326.2171,104.5931,70.9812,0,U,34486,999,90465,.34429331E-2,.46457E-3,0
IRIDIUM 33 DEB,1997-051GC,2026-03-21T15:24:27.953280,14.43395072,.00314095,86.3459,329.8188,159.6995,228.8007,0,U,34487,999,89675,.16938399E-3,.595E-5,0
IRIDIUM 33 DEB,1997-051GH,2026-03-21T13:47:00.721824,14.27966548,.01821503,86.4692,294.6117,280.9824,106.1838,0,U,34492,999,86468,.30262809E-2,.8977E-4,0
IRIDIUM 33 DEB,1997-051GN,2026-03-19T18:56:55.581216,14.27828026,.00811705,86.2832,10.9278,26.9664,2.4813,0,U,34497,999,88268,.66304213E-3,.1716E-4,0
IRIDIUM 33 DEB,1997-051GZ,2026-03-21T10:22:44.701248,14.39204266,.00624131,86.3682,60.7437,207.6402,152.1475,0,U,34508,999,88728,.10598067E-2,.3378E-4,0
IRIDIUM 33 DEB,1997-051HN,2026-03-21T11:27:35.800416,14.64825422,.00023817,86.3823,347.0423,341.0354,19.0770,0,U,34521,999,89917,.14650127E-2,.7841E-4,0
IRIDIUM 33 DEB,1997-051HS,2026-03-21T14:00:34.257312,14.43204438,.00062768,86.3782,4.6487,110.1794,8.3674,0,U,34525,999,89513,.34962416E-3,.1195E-4,0
IRIDIUM 33 DEB,1997-051HW,2026-03-21T11:11:12.217632,14.40753709,.0003127,86.3694,353.3360,220.7331,139.3635,0,U,34529,999,89563,.18477095E-3,.61E-5,0
IRIDIUM 33 DEB,1997-051JF,2026-03-21T10:03:08.044704,14.43337829,.00350171,86.2771,322.3332,2.1361,57.6372,0,U,34538,999,89179,.72410672E-3,.2478E-4,0
IRIDIUM 33 DEB,1997-051JH,2026-03-21T12:58:33.323808,14.77643865,.00161707,86.3052,262.3361,180.3121,238.8482,0,U,34540,999,90479,.18303291E-2,.13157E-3,0
