OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-36840,2026-034A,2026-03-21T12:00:00.999648,15.69802211,.00010308,53.1591,152.2787,53.6595,308.4469,0,U,67850,999,580,-.17918576E-1,-.1930773E-1,0
STARLINK-36348,2026-034B,2026-03-21T12:00:00.999648,15.65564661,.00009869,53.1589,152.3671,68.2639,250.2798,0,U,67851,999,575,-.21102683E-1,-.1912016E-1,0
STARLINK-36276,2026-034C,2026-03-21T12:00:00.999648,15.64351669,.00009796,53.1590,152.3921,65.7786,240.4785,0,U,67852,999,575,-.22118422E-1,-.1908977E-1,0
STARLINK-36785,2026-034D,2026-03-21T11:42:59.755104,15.80934466,.00006184,53.1581,152.2019,48.4129,311.6946,0,U,67853,999,580,.13257012E-2,.27007E-2,0
STARLINK-36608,2026-034E,2026-03-21T13:12:57.288384,15.80922269,.0000551,53.1573,151.8797,52.0065,308.1007,0,U,67854,999,580,.10701582E-2,.216387E-2,0
STARLINK-36838,2026-034F,2026-03-21T11:40:50.365920,15.80927171,.00017069,53.1586,152.1903,88.2122,271.9096,0,U,67855,999,580,.90771582E-3,.182754E-2,0
STARLINK-36843,2026-034G,2026-03-21T11:39:45.567648,15.80466538,.00055685,53.1581,152.1858,308.9705,51.0821,0,U,67856,999,580,.56449011E-3,.11015E-2,0
STARLINK-36828,2026-034H,2026-03-21T10:08:42.571680,15.80907424,.00005694,53.1580,152.5037,65.6350,294.4732,0,U,67857,999,579,.71615991E-3,.143243E-2,0
STARLINK-36837,2026-034J,2026-03-21T12:00:00.999648,15.73111952,.00011636,53.1590,152.1522,48.9507,14.1136,0,U,67858,999,575,-.15468367E-1,-.1882617E-1,0
STARLINK-36393,2026-034K,2026-03-21T11:36:30.709728,15.80874017,.00012266,53.1586,152.1702,73.1412,286.9746,0,U,67859,999,580,.13736446E-2,.279382E-2,0
STARLINK-35873,2026-034L,2026-03-21T11:35:25.885536,15.80908511,.00008054,53.1588,152.1655,131.0642,229.0450,0,U,67860,999,583,.1113523E-2,.225272E-2,0
STARLINK-36325,2026-034M,2026-03-21T11:34:21.001728,15.80922494,.00007795,53.1592,152.1604,143.8934,216.2142,0,U,67861,999,580,.80673652E-3,.161913E-2,0
STARLINK-36332,2026-034N,2026-03-21T13:04:18.692256,15.80938116,.00004991,53.1573,151.8386,96.4590,263.6490,0,U,67862,999,581,.12647314E-2,.257276E-2,0
STARLINK-36835,2026-034P,2026-03-21T11:32:11.435424,15.80921271,.00011694,53.1588,152.1497,92.6396,267.4761,0,U,67863,999,580,.77787598E-3,.155978E-2,0
STARLINK-36831,2026-034Q,2026-03-21T11:31:06.994848,15.80951416,.00020817,53.1584,152.1452,65.7642,294.3598,0,U,67864,999,580,.13952223E-2,.284984E-2,0
STARLINK-36738,2026-034R,2026-03-21T14:32:06.650592,15.80946678,.00014338,53.1585,151.5063,79.5716,280.5469,0,U,67865,999,582,.15147811E-2,.310315E-2,0
STARLINK-36780,2026-034S,2026-03-21T11:28:57.216000,15.80932771,.00008873,53.1585,152.1348,53.9510,306.1595,0,U,67866,999,580,.11702803E-2,.237392E-2,0
STARLINK-36761,2026-034T,2026-03-21T11:27:52.227648,15.80931392,.00019397,53.1589,152.1290,98.6453,261.4789,0,U,67867,999,580,.10282409E-2,.207761E-2,0
STARLINK-36762,2026-034U,2026-03-21T11:26:47.387904,15.80881472,.00015134,53.1583,152.1242,87.0137,273.1059,0,U,67868,999,580,.1444163E-2,.294377E-2,0
STARLINK-36779,2026-034V,2026-03-21T11:25:42.710592,15.80924551,.00011549,53.1598,152.1192,110.8806,249.2341,0,U,67869,999,580,.8862173E-3,.178292E-2,0
STARLINK-36770,2026-034W,2026-03-21T09:52:30.798048,15.80869910,.00021048,53.1584,152.4249,25.6145,334.4982,0,U,67870,999,579,.15588935E-2,.318554E-2,0
STARLINK-36769,2026-034X,2026-03-21T11:24:38.225952,15.80861645,.00015735,53.1588,152.1137,92.4524,267.6679,0,U,67871,999,580,.20584227E-2,.426038E-2,0
STARLINK-36786,2026-034Y,2026-03-21T11:22:28.564608,15.80869886,.00023902,53.1583,152.1037,103.6719,256.4570,0,U,67872,999,580,.22177445E-2,.461131E-2,0
STARLINK-36783,2026-034Z,2026-03-21T11:21:23.433696,15.80905571,.00012828,53.1594,152.0983,79.2345,280.8822,0,U,67873,999,580,.78765382E-3,.157868E-2,0
STARLINK-36730,2026-034AA,2026-03-21T11:20:18.948192,15.80840043,.00024578,53.1582,152.0937,27.7343,332.3811,0,U,67874,999,580,.20276333E-2,.418881E-2,0
STARLINK-36727,2026-034AB,2026-03-21T11:19:14.109312,15.80814741,.00014823,53.1579,152.0886,64.8273,295.2903,0,U,67875,999,580,.23140264E-2,.481111E-2,0
STARLINK-36743,2026-034AC,2026-03-21T11:18:09.328320,15.80838813,.00012104,53.1583,152.0831,76.4849,283.6308,0,U,67876,999,580,.27481877E-2,.578793E-2,0
STARLINK-36784,2026-034AD,2026-03-21T12:00:00.999648,15.67005070,.00013205,53.1589,152.0992,53.7572,33.8687,0,U,67877,999,575,-.19940823E-1,-.1915615E-1,0
STARLINK-36689,2026-034AE,2026-03-21T12:47:01.283136,15.80939808,.00012148,53.1577,151.7568,113.2559,246.8592,0,U,67878,999,581,.12315326E-2,.250312E-2,0
STARLINK-36818,2026-035A,2026-03-21T13:52:30.803520,15.75267762,.00013684,97.2873,13.5439,86.5085,273.6336,0,U,67879,999,571,.58574237E-3,.88444E-3,0
STARLINK-36821,2026-035B,2026-03-21T13:48:26.603424,15.75399231,.00014594,97.2865,13.5469,112.7079,247.4341,0,U,67880,999,571,.30744546E-2,.490196E-2,0
STARLINK-36808,2026-035C,2026-03-21T13:13:57.058176,15.80861108,.00018767,97.2890,13.5772,135.0824,225.0596,0,U,67881,999,571,.14725473E-2,.292178E-2,0
STARLINK-36817,2026-035D,2026-03-21T12:00:00.999648,15.75171921,.00016956,97.2861,13.5149,76.3396,324.9705,0,U,67882,999,565,-.16714304E-4,-.262E-4,0
STARLINK-36856,2026-035E,2026-03-21T12:00:00.999648,15.75257984,.000144,97.2863,13.5092,103.2966,282.1148,0,U,67883,999,565,-.10830318E-2,-.159171E-2,0
STARLINK-36842,2026-035F,2026-03-21T13:44:22.779168,15.75298369,.00012092,97.2868,13.5491,23.8091,336.3230,0,U,67884,999,571,.37327215E-4,.5467E-4,0
STARLINK-36826,2026-035G,2026-03-21T08:57:14.601024,15.75302539,.00010968,97.2866,13.3596,115.7382,244.3996,0,U,67885,999,568,.11435152E-2,.174817E-2,0
STARLINK-36390,2026-035H,2026-03-21T13:41:20.089824,15.75317211,.00019614,97.2862,13.5509,107.2018,252.9463,0,U,67886,999,571,.24125704E-2,.378198E-2,0
STARLINK-36368,2026-035J,2026-03-21T12:00:00.999648,15.76458120,.000144,97.2865,13.5338,81.6231,8.8547,0,U,67887,999,565,-.11085665E-1,-.1534797E-1,0
STARLINK-36801,2026-035K,2026-03-21T12:00:00.999648,15.75175309,.00015184,97.2862,13.5288,83.2612,354.1026,0,U,67888,999,565,-.39672822E-3,-.58862E-3,0
